entry_date,ticker,exit_date,stock_entry_price,stock_exit_price,call_premium_pct,pnl_pct,leg
2023-07-10,GILD,2023-09-04,70.3981,69.3128,3.419,-3.42,primary
2023-07-10,MS,2023-09-04,78.3778,78.3097,2.3941,-2.39,primary
2023-07-10,NEE,2023-09-04,67.4894,62.0433,1.4424,-1.44,primary
2023-07-10,NKE,2023-09-04,102.321,92.8876,2.7652,-2.77,primary
2023-07-10,PG,2023-09-04,139.8616,143.4442,2.2243,0.34,primary
2023-07-10,REGN,2023-09-04,713.6985,825.1157,3.2532,12.36,primary
2023-07-10,SBUX,2023-09-04,94.8184,89.3856,1.5713,-1.57,primary
2023-07-10,SRE,2023-09-04,68.04,65.3173,1.4424,-1.44,primary
2023-07-10,SYK,2023-09-04,295.2921,282.7063,2.6675,-2.67,primary
2023-07-10,TMO,2023-09-04,524.8291,513.8342,2.2184,-2.22,primary
2023-07-10,UNH,2023-09-04,454.5197,455.0876,3.3934,-3.27,primary
2023-07-10,ZTS,2023-09-04,166.7828,180.3418,2.6675,5.46,primary
2023-07-17,ALL,2023-09-11,104.354,103.2957,2.4407,-2.44,primary
2023-07-17,BMY,2023-09-11,57.3841,52.3714,3.4856,-3.49,primary
2023-07-17,KMB,2023-09-11,123.1881,113.3405,2.2676,-2.27,primary
2023-07-17,MRK,2023-09-11,101.3721,98.7365,2.5708,-2.57,primary
2023-07-17,PGR,2023-09-11,113.8123,126.9421,2.4407,9.1,primary
2023-07-17,T,2023-09-11,12.9027,13.3135,3.0498,0.13,primary
2023-07-17,TRV,2023-09-11,164.4639,157.8142,2.4407,-2.44,primary
2023-07-17,XOM,2023-09-11,94.6169,107.1548,3.2244,10.03,primary
2023-07-17,YUM,2023-09-11,130.457,121.9676,1.6019,-1.6,primary
2023-07-24,EL,2023-09-18,171.3,140.7256,2.2226,-2.22,primary
2023-07-24,LVS,2023-09-18,56.2513,43.6452,2.6143,-2.61,primary
2023-07-31,CL,2023-09-25,71.9347,67.0768,2.8512,-2.85,primary
2023-07-31,DIS,2023-09-25,84.3144,79.1852,3.3536,-3.35,primary
2023-07-31,GILD,2023-09-25,71.757,69.0156,4.3826,-4.38,primary
2023-08-07,BMY,2023-10-02,54.3233,50.2688,1.72,-1.72,primary
2023-08-07,GIS,2023-10-02,65.5025,56.3266,1.2046,-1.2,primary
2023-08-07,MNST,2023-10-02,58.18,49.97,1.2046,-1.2,primary
2023-08-07,MRK,2023-10-02,98.663,96.0442,2.327,-2.33,primary
2023-08-07,T,2023-10-02,12.5618,12.6317,1.596,-1.04,primary
2023-08-07,VZ,2023-10-02,28.1612,26.0423,1.596,-1.6,primary
2023-08-14,ET,2023-10-09,10.68,11.3619,2.7486,3.64,re_entry
2023-08-14,PGR,2023-10-09,122.5411,141.8754,1.9005,13.88,re_entry
2023-08-28,MS,2023-10-23,79.0751,64.9199,2.2821,-2.28,re_entry
2023-11-20,APD,2024-01-15,258.7761,247.2881,1.6916,-1.69,primary
2023-11-20,BDX,2024-01-15,178.8844,177.3597,1.0408,-1.04,primary
2023-11-20,BIIB,2024-01-15,231.95,249.96,3.0316,4.73,primary
2023-11-20,EXC,2024-01-15,35.9939,32.1823,1.6916,-1.69,primary
2023-11-20,LLY,2024-01-15,591.7931,618.8476,3.0316,1.54,primary
2023-11-20,TJX,2024-01-15,87.4083,92.7809,2.7889,3.36,primary
2023-11-27,DE,2024-01-22,357.1219,382.5458,2.6584,4.46,primary
2023-11-27,DVN,2024-01-22,41.4979,39.8491,2.7235,-2.72,primary
2023-12-04,CSCO,2024-01-29,45.4338,47.4909,1.0443,3.48,primary
2023-12-04,GOOG,2024-01-29,135.5273,142.3711,2.0884,2.96,primary
2023-12-04,GOOGL,2024-01-29,133.8834,141.2129,1.9625,3.51,primary
2023-12-04,META,2024-01-29,330.1591,471.2915,2.7003,40.05,primary
2023-12-04,NVDA,2024-01-29,47.4728,66.1196,3.5454,35.73,primary
2023-12-11,APD,2024-02-05,255.3445,208.5781,1.219,-1.22,primary
2023-12-11,BDX,2024-02-05,178.2018,183.2694,2.1708,0.67,primary
2023-12-11,BRK-B,2024-02-05,356.5,398.36,1.5,10.24,primary
2023-12-11,DE,2024-02-05,373.8349,370.5627,2.5847,-2.58,primary
2023-12-11,DVN,2024-02-05,41.2223,38.8861,2.6481,-2.65,primary
2023-12-11,ODFL,2024-02-05,193.8373,214.6883,0.9433,9.81,primary
2023-12-11,VLO,2024-02-05,120.3856,134.971,2.4035,9.71,primary
2023-12-11,XOM,2024-02-05,93.4943,94.3004,2.6481,-1.79,primary
2023-12-18,GOOG,2024-02-12,141.5578,140.6056,2.2034,-2.2,primary
2023-12-18,GOOGL,2024-02-12,140.3302,139.3681,2.0706,-2.07,primary
2023-12-18,HSY,2024-02-12,170.576,178.6506,1.3008,3.43,primary
2023-12-18,TJX,2024-02-12,89.2348,95.2486,1.0009,5.74,primary
2023-12-18,WMT,2024-02-12,51.0043,55.4682,1.0009,7.75,primary
2023-12-25,EPD,2024-02-19,22.5138,24.102,2.5669,4.49,primary
2024-01-01,LLY,2024-02-26,608.9728,771.3599,3.6252,23.04,primary
2024-01-08,AON,2024-03-04,295.9523,312.8705,2.5341,3.18,primary
2024-01-08,CMCSA,2024-03-04,37.5022,37.1446,2.8509,-2.85,primary
2024-01-08,GOOG,2024-03-04,143.0655,135.1802,2.5809,-2.58,primary
2024-01-08,GOOGL,2024-03-04,141.4807,134.3,2.9418,-2.94,primary
2024-01-08,ORCL,2024-03-04,104.0001,110.1031,2.5341,3.33,primary
2024-01-15,CHTR,2024-03-11,371.1,290.65,2.9856,-2.99,primary
2024-01-15,CME,2024-03-11,185.0186,200.2143,2.3689,5.84,primary
2024-01-22,APD,2024-03-18,248.4835,224.5839,1.1447,-1.14,primary
2024-01-22,COP,2024-03-18,104.7073,115.6022,3.1941,7.21,primary
2024-01-22,CVX,2024-03-18,135.322,141.8618,3.1941,1.64,primary
2024-01-22,EXC,2024-03-18,32.1547,34.0681,1.1447,4.81,primary
2024-01-22,FANG,2024-03-18,144.5854,183.2241,3.444,23.28,primary
2024-01-22,ODFL,2024-03-18,193.6499,217.7728,1.5851,10.87,primary
2024-01-22,OXY,2024-03-18,55.9653,61.3708,3.1941,6.46,primary
2024-01-22,WMB,2024-03-18,32.0277,35.5951,3.444,7.69,primary
2024-01-22,XOM,2024-03-18,95.4401,106.1375,3.444,7.76,primary
2024-01-29,CPRT,2024-03-25,50.03,57.92,1.6556,14.11,primary
2024-01-29,SBUX,2024-03-25,87.7167,86.7261,1.6556,-1.66,primary
2024-02-05,AON,2024-04-01,308.7318,315.083,1.6766,0.38,primary
2024-02-05,UNH,2024-04-01,494.1266,436.2645,2.0016,-2.0,primary
2024-02-12,EXC,2024-04-08,32.0629,33.8639,1.2293,4.39,primary
2024-02-19,AFL,2024-04-15,76.6141,79.8037,1.2557,2.91,primary
2024-02-19,APD,2024-04-15,220.8647,221.3855,1.4792,-1.24,primary
2024-02-19,CHTR,2024-04-15,299.42,265.21,1.3971,-1.4,primary
2024-02-19,FDX,2024-04-15,232.1078,255.8287,2.7189,7.5,primary
2024-02-19,GOOG,2024-04-15,144.1069,154.452,2.2034,4.98,re_entry
2024-02-19,GOOGL,2024-04-15,142.7799,152.8269,2.0706,4.97,re_entry
2024-02-19,NOC,2024-04-15,444.3098,447.5671,1.4792,-0.75,primary
2024-02-19,SBUX,2024-04-15,90.7402,83.139,2.7189,-2.72,primary
2024-02-19,WMB,2024-04-15,32.092,35.837,3.1802,8.49,primary
2024-03-04,PM,2024-04-29,84.49,90.0251,2.6306,3.92,primary
2024-03-04,SO,2024-04-29,64.5798,70.9807,1.5857,8.33,primary
2024-03-04,SRE,2024-04-29,66.2391,68.5613,1.5857,1.92,primary
2024-03-11,UNH,2024-05-06,469.8454,490.8957,2.0999,2.38,primary
2024-03-18,BIIB,2024-05-13,218.1,230.57,3.194,2.52,primary
2024-03-18,GOOG,2024-05-13,150.5341,175.8463,2.5809,14.23,re_entry
2024-03-18,GOOGL,2024-05-13,149.5341,174.6168,2.9418,13.83,re_entry
2024-03-18,PCG,2024-05-13,16.231,18.4084,1.3255,12.09,primary
2024-03-18,TSLA,2024-05-13,170.83,177.46,6.4626,-2.58,primary
2024-03-25,AAPL,2024-05-20,169.9335,188.522,2.7507,8.19,primary
2024-03-25,ADBE,2024-05-20,504.6,475.43,3.1067,-3.11,primary
2024-03-25,AMT,2024-05-20,184.6381,175.3031,1.3204,-1.32,primary
2024-03-25,O,2024-05-20,48.4017,47.1311,1.3204,-1.32,primary
2024-03-25,SBUX,2024-05-20,86.7261,75.4129,1.647,-1.65,primary
2024-03-25,SRE,2024-05-20,67.5364,71.3067,1.3204,4.26,primary
2024-04-08,HUM,2024-06-03,304.0667,342.2076,2.5949,9.95,primary
2024-04-08,NKE,2024-06-03,88.1034,92.4607,6.5178,-1.57,primary
2024-06-10,BLK,2024-08-05,741.6199,825.3706,3.5677,7.73,primary
